iter	Passed	Remaining
0	79	39481
1	91	22885
2	105	17420
3	115	14320
4	121	12042
5	127	10529
6	133	9391
7	139	8602
8	145	7941
9	150	7371
10	157	7009
11	162	6594
12	166	6246
13	172	5974
14	176	5697
15	179	5433
16	182	5195
17	188	5036
18	191	4854
19	196	4713
20	200	4576
21	203	4430
22	207	4304
23	211	4193
24	214	4077
25	219	4001
26	223	3918
27	226	3825
28	232	3770
29	235	3692
30	240	3634
31	244	3578
32	251	3560
33	258	3538
34	262	3492
35	266	3436
36	272	3410
37	277	3370
38	281	3328
39	286	3291
40	290	3256
41	295	3216
42	299	3181
43	303	3141
44	307	3107
45	311	3071
46	315	3041
47	320	3017
48	325	2999
49	329	2969
50	334	2940
51	337	2909
52	341	2882
53	346	2863
54	350	2839
55	355	2816
56	359	2794
57	363	2773
58	369	2758
59	373	2736
60	378	2724
61	383	2705
62	388	2691
63	392	2673
64	397	2662
65	402	2644
66	406	2628
67	411	2614
68	415	2598
69	420	2584
70	424	2564
71	429	2554
72	433	2534
73	437	2519
74	441	2503
75	445	2485
76	450	2472
77	454	2460
78	460	2452
79	466	2447
80	471	2440
81	477	2434
82	482	2423
83	486	2408
84	491	2401
85	496	2387
86	499	2372
87	507	2377
88	512	2365
89	518	2362
90	524	2356
91	528	2344
92	532	2330
93	537	2319
94	541	2308
95	545	2295
96	549	2283
97	555	2279
98	558	2263
99	562	2251
100	567	2243
101	572	2232
102	576	2223
103	580	2211
104	584	2200
105	589	2192
106	593	2178
107	596	2165
108	599	2151
109	604	2141
110	607	2127
111	610	2116
112	615	2107
113	619	2098
114	622	2083
115	626	2072
116	629	2061
117	633	2050
118	637	2041
119	641	2032
120	646	2025
121	649	2013
122	653	2003
123	657	1994
124	660	1981
125	663	1969
126	667	1960
127	672	1954
128	677	1947
129	680	1937
130	684	1926
131	688	1918
132	691	1907
133	695	1899
134	699	1891
135	704	1884
136	708	1878
137	712	1869
138	718	1864
139	722	1858
140	726	1850
141	730	1841
142	735	1835
143	741	1832
144	744	1822
145	748	1815
146	752	1807
147	756	1799
148	760	1791
149	763	1781
150	767	1774
151	771	1766
152	775	1759
153	779	1752
154	784	1745
155	789	1741
156	793	1733
157	796	1724
158	800	1716
159	804	1710
160	809	1704
161	813	1698
162	818	1692
163	823	1686
164	828	1682
165	835	1680
166	840	1676
167	846	1672
168	851	1668
169	855	1661
170	860	1655
171	864	1647
172	866	1638
173	870	1631
174	873	1621
175	877	1615
176	882	1610
177	885	1601
178	888	1593
179	893	1587
180	898	1583
181	903	1578
182	908	1573
183	913	1568
184	918	1564
185	922	1557
186	925	1549
187	930	1544
188	934	1537
189	937	1529
190	940	1522
191	945	1517
192	950	1511
193	955	1506
194	959	1500
195	963	1493
